frequency1,frequency2,frequency3,L
0.1,0.2,0.3,normal
0.2,0.3,0.4,normal
0.3,0.4,0.5,normal
0.4,0.5,0.6,normal
0.5,0.6,0.7,normal
0.6,0.7,0.8,normal
0.7,0.8,0.9,normal
0.8,0.9,1.0,normal
0.9,1.0,1.1,normal
1.0,1.1,1.2,normal
1.1,1.2,1.3,normal
1.2,1.3,1.4,normal
1.3,1.4,1.5,normal
1.4,1.5,1.6,normal
1.5,1.6,1.7,normal
1.6,1.7,1.8,normal
1.7,1.8,1.9,normal
1.8,1.9,2.0,normal
1.9,2.0,2.1,normal
2.0,2.1,2.2,normal
2.1,2.2,2.3,normal
2.2,2.3,2.4,normal
2.3,2.4,2.5,normal
2.4,2.5,2.6,normal
2.5,2.6,2.7,normal
2.6,2.7,2.8,normal
2.7,2.8,2.9,normal
2.8,2.9,3.0,normal
2.9,3.0,3.1,normal
3.0,3.1,3.2,normal
3.1,3.2,3.3,normal
3.2,3.3,3.4,normal
3.3,3.4,3.5,normal
3.4,3.5,3.6,normal
3.5,3.6,3.7,normal
3.6,3.7,3.8,normal
3.7,3.8,3.9,normal
3.8,3.9,4.0,normal
3.9,4.0,4.1,normal
4.0,4.1,4.2,normal
4.1,4.2,4.3,normal
4.2,4.3,4.4,normal
4.3,4.4,4.5,normal
4.4,4.5,4.6,normal
4.5,4.6,4.7,normal
4.6,4.7,4.8,normal
4.7,4.8,4.9,normal
4.8,4.9,5.0,normal
4.9,5.0,5.1,normal
5.0,5.1,5.2,normal
5.1,5.2,5.3,normal
5.2,5.3,5.4,normal
5.3,5.4,5.5,normal
5.4,5.5,5.6,normal
5.5,5.6,5.7,normal
5.6,5.7,5.8,normal
5.7,5.8,5.9,normal
5.8,5.9,6.0,normal
5.9,6.0,6.1,normal
6.0,6.1,6.2,normal
6.1,6.2,6.3,normal
6.2,6.3,6.4,normal
6.3,6.4,6.5,normal
6.4,6.5,6.6,normal
6.5,6.6,6.7,normal
6.6,6.7,6.8,normal
6.7,6.8,6.9,normal
6.8,6.9,7.0,normal
6.9,7.0,7.1,normal
7.0,7.1,7.2,attack
7.1,7.2,7.3,attack
7.2,7.3,7.4,attack
7.3,7.4,7.5,attack
7.4,7.5,7.6,attack
7.5,7.6,7.7,attack
7.6,7.7,7.8,attack
7.7,7.8,7.9,attack
7.8,7.9,8.0,attack
7.9,8.0,8.1,attack
